Essex
Hertfordshire
Norfolk
Cambridgeshire
Suffolk
Bedfordshire
Nottinghamshire
Lincolnshire
Derbyshire
Leicestershire
Northamptonshire
Rutland
Greater London
Tyne & Wear
County Durham
Northumberland
Greater Manchester
Lancashire
Merseyside
Cheshire
Cumbria
Hampshire
Kent
Surrey
Berkshire
West Sussex
East Sussex
Buckinghamshire
Oxfordshire
Isle of Wight
Devon
Somerset
Gloucestershire
Dorset
Wiltshire
Cornwall
Bristol
West Midlands
Staffordshire
Worcestershire
Warwickshire
Shropshire
Herefordshire
West Yorkshire
South Yorkshire
North Yorkshire
East Riding of Yorkshire
